"";"lower";"est.";"upper"
"(Intercept)";0,174813466242606;0,183512934913555;0,192212403584503
"stimulusangry";0,00248127906737574;0,00610904092305264;0,00973680277872955
"stimulushappy";0,0024230769347831;0,00606086742286286;0,00969865791094263
"conditionSleepDeprived";-0,0214757750925593;-0,00364745457705154;0,0141808659384562
"AgeGroupOld";-0,00891240372281922;0,00891591679268852;0,0267442373081963
"stimulusangry:conditionSleepDeprived";-0,00659345709144112;0,000662066619912665;0,00791759033126645
"stimulushappy:conditionSleepDeprived";-0,00412134855941179;0,00315423241674776;0,0104298133929073
"stimulusangry:AgeGroupOld";-0,0140643313410343;-0,00680880762968054;0,000446716081673243
"stimulushappy:AgeGroupOld";-0,0172740576833971;-0,00999847670723761;-0,00272289573107807
"conditionSleepDeprived:AgeGroupOld";-0,0529253454325546;-0,0172687044015391;0,0183879366294764
"stimulusangry:conditionSleepDeprived:AgeGroupOld";-0,0214770908276563;-0,00696604340494875;0,0075450040177588
"stimulushappy:conditionSleepDeprived:AgeGroupOld";-0,0161837304515651;-0,00163256849924597;0,0129185934530731
